date,Commercial,Vehicle,Street
5/15/2020,106,428,1008
5/14/2020,84,208,446
5/13/2020,51,205,370
5/12/2020,49,160,293
5/11/2020,44,119,288
5/10/2020,58,203,442
5/9/2020,41,88,122
5/8/2020,48,93,149
5/7/2020,67,170,402
5/6/2020,42,75,132
5/5/2020,52,151,305
5/4/2020,42,138,383
5/3/2020,54,421,940
5/2/2020,93,283,722
5/1/2020,67,134,319
4/30/2020,18,71,66
4/29/2020,37,95,153
4/28/2020,62,154,352
4/27/2020,24,80,98
4/26/2020,34,83,131
4/25/2020,53,212,411
4/24/2020,36,74,119
4/23/2020,42,89,125
4/22/2020,25,96,123
4/21/2020,19,103,138
4/20/2020,40,139,207
4/19/2020,50,158,270
4/18/2020,31,60,100
4/17/2020,29,82,112
4/16/2020,29,81,89
4/15/2020,30,94,158
4/14/2020,37,117,258
4/13/2020,31,91,127
4/12/2020,42,182,305
4/11/2020,52,111,194
4/10/2020,25,51,76
4/9/2020,31,80,119
4/8/2020,25,120,226
4/7/2020,38,137,309
4/6/2020,46,141,298
4/5/2020,47,141,257
4/4/2020,40,108,252
4/3/2020,35,69,141
4/2/2020,34,85,161
4/1/2020,31,90,165
3/31/2020,14,81,129
3/30/2020,37,109,137
3/29/2020,27,68,95
3/28/2020,31,55,149
3/27/2020,63,166,512
3/26/2020,32,120,185
3/25/2020,25,77,83
3/24/2020,46,87,186
3/23/2020,20,49,37
3/22/2020,40,76,104
3/21/2020,57,141,290
3/20/2020,69,172,415
3/19/2020,39,87,119
3/18/2020,33,96,123
3/17/2020,47,92,152
3/16/2020,52,59,85
3/15/2020,140,174,236
3/14/2020,129,128,203
3/13/2020,111,141,213
3/12/2020,44,66,98
3/11/2020,84,110,134
3/10/2020,88,125,216
3/9/2020,95,148,362
3/8/2020,185,186,197
3/7/2020,175,130,188
3/6/2020,97,82,64
3/5/2020,97,86,106
3/4/2020,87,105,81
3/3/2020,56,79,73
3/2/2020,73,99,109
3/1/2020,129,99,100
2/29/2020,148,82,83
2/28/2020,98,61,72
2/27/2020,55,57,31
2/26/2020,35,44,35
2/25/2020,55,78,72
2/24/2020,57,104,128
2/23/2020,149,126,190
2/22/2020,165,91,150
2/21/2020,90,57,53
2/20/2020,71,56,52
2/19/2020,68,74,94
2/18/2020,69,68,60
2/17/2020,95,79,109
2/16/2020,164,83,81
2/15/2020,153,59,60
2/14/2020,90,87,44
2/13/2020,68,57,65
2/12/2020,64,68,81
2/11/2020,52,67,65
2/10/2020,58,74,65
2/9/2020,144,97,104
2/8/2020,172,56,102
2/7/2020,94,70,45
2/6/2020,89,52,50
2/5/2020,49,54,74
2/4/2020,56,96,90
2/3/2020,61,118,144
2/2/2020,147,61,123
2/1/2020,158,95,148
1/31/2020,91,104,91
1/30/2020,81,51,70
1/29/2020,73,52,65
1/28/2020,45,61,86
1/27/2020,50,73,79
1/26/2020,188,92,114
1/25/2020,175,83,81
1/24/2020,85,62,98
1/23/2020,80,62,80
1/22/2020,66,71,133
1/21/2020,68,74,60
1/20/2020,77,57,98
1/19/2020,137,57,84
1/18/2020,128,60,56
1/17/2020,80,74,93
1/16/2020,62,55,83
1/15/2020,71,80,154
1/14/2020,74,74,82
1/13/2020,78,88,72
1/12/2020,181,148,257
1/11/2020,198,142,296
1/10/2020,114,135,109
1/9/2020,94,82,45
1/8/2020,52,77,42
1/7/2020,68,67,55
1/6/2020,66,70,61
1/5/2020,148,98,78
1/4/2020,153,81,137
1/3/2020,103,92,80
1/2/2020,49,98,109
1/1/2020,118,75,149
